1,"Audi R8 Performance Green Hell",620,3.1
2,"Lexus LC500 Superturismo",650,2.9
3,"Lamborghini Huracan Performante",640,2.9
4,"McLaren 600LT",600,2.9
5,"Mercedes GTR",585,3.6
6,"FORD MUSTANG GT",450,4.8
7,"BMW M8 Competition Gran Coupé",625,3.2
8,"Audi RSQ8",600,3.6
